Student_ID,Age,Gender,Class,Study_Hours_Per_Day,Attendance_Percentage,Parental_Education,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Final_Percentage,Performance_Level,Pass_Fail
39,17,1,12,2.0,100,0,1,1,68,38,88,59,64.67,0,1
40,16,1,10,5.2,95,0,1,0,56,84,57,57,65.67,0,1
41,19,0,11,4.1,64,1,0,1,62,82,95,78,79.67,2,1
42,18,1,12,4.5,56,1,1,1,60,70,52,86,60.67,0,1
43,16,0,9,4.8,68,1,1,1,37,76,98,44,70.33,2,1
44,14,0,10,3.4,91,0,0,0,36,100,76,62,70.67,2,1
45,14,1,9,1.9,55,1,0,0,87,37,55,46,59.67,0,1
46,14,1,10,2.6,96,0,1,0,68,63,78,43,69.67,2,1
47,19,1,12,0.8,80,0,1,1,46,49,92,83,62.33,0,1
48,17,1,12,1.0,63,1,0,0,41,86,46,58,57.67,0,1
49,14,0,11,2.8,95,1,0,0,44,83,83,93,70.0,2,1
50,18,1,11,1.3,69,1,0,0,99,77,84,88,86.67,1,1
51,18,0,11,5.3,63,0,1,1,82,63,72,55,72.33,2,1
52,15,1,11,4.7,76,1,1,0,82,87,42,89,70.33,2,1
53,17,0,11,1.5,92,1,1,0,57,75,86,81,72.67,2,1
54,17,0,11,5.3,80,0,0,0,74,37,46,40,52.33,0,1
55,15,0,12,4.2,75,0,1,0,86,71,79,58,78.67,2,1
56,16,0,12,3.9,97,0,1,0,81,72,85,40,79.33,2,1
57,19,1,9,3.0,64,2,0,1,66,57,69,86,64.0,0,1
58,14,1,12,3.6,90,0,0,1,67,82,100,86,83.0,1,1
59,17,0,10,3.5,51,2,1,1,68,74,81,68,74.33,2,1
60,14,1,9,4.0,82,2,0,1,65,83,53,95,67.0,2,1
61,17,0,10,1.8,99,2,0,0,78,35,91,65,68.0,2,1
62,19,0,11,1.9,66,1,0,0,95,82,89,52,88.67,1,1
63,19,0,12,1.9,56,0,1,0,75,40,40,86,51.67,0,1
64,19,1,12,3.6,84,0,1,0,85,71,53,95,69.67,2,1
65,14,0,10,2.7,55,1,1,0,67,60,84,65,70.33,2,1
66,14,0,10,4.4,71,2,1,0,64,47,66,54,59.0,0,1
67,17,1,10,5.4,96,2,0,1,43,86,65,81,64.67,0,1
68,17,1,10,3.4,77,1,0,0,35,77,97,83,69.67,2,1
69,16,0,9,5.8,91,0,1,1,93,93,41,76,75.67,2,1
70,14,0,10,1.5,50,2,0,0,90,81,48,80,73.0,2,1
71,14,1,12,3.6,58,2,0,1,71,96,67,49,78.0,2,1
72,17,0,11,1.8,76,1,0,1,60,49,83,79,64.0,0,1
73,15,0,11,2.9,57,2,0,0,85,71,67,78,74.33,2,1
74,18,1,9,5.7,84,0,1,1,56,85,75,65,72.0,2,1
75,17,0,12,2.2,67,2,0,1,78,49,88,46,71.67,2,1
76,14,1,12,1.3,50,1,0,0,47,62,65,94,58.0,0,1
77,14,0,10,2.1,57,1,0,0,48,77,89,45,71.33,2,1
78,16,1,11,1.9,91,1,0,0,52,99,44,44,65.0,0,1
79,18,0,11,1.3,87,0,0,1,38,97,75,86,70.0,2,1
80,16,0,10,4.5,68,2,1,0,81,76,62,90,73.0,2,1
81,14,0,9,2.4,82,0,1,1,73,59,93,81,75.0,2,1
82,14,1,12,2.3,98,1,0,1,45,38,38,41,40.33,3,0
83,14,1,11,3.4,60,2,1,1,36,100,90,45,75.33,2,1
84,15,0,9,5.7,92,2,0,0,56,39,46,48,47.0,3,0
85,17,0,10,5.6,68,0,0,0,100,66,94,46,86.67,1,1
86,17,0,12,3.1,60,0,1,0,71,74,42,61,62.33,0,1
87,19,0,11,2.6,60,1,1,1,40,41,84,92,55.0,0,1
88,14,0,10,3.5,93,1,1,0,48,79,64,73,63.67,0,1
89,16,0,11,0.8,55,1,1,0,57,35,75,56,55.67,0,1
90,18,1,12,4.2,83,1,1,0,63,41,53,43,52.33,0,1
91,19,1,11,2.9,54,1,1,0,42,61,48,59,50.33,0,1
92,18,0,11,4.3,50,1,1,0,61,51,70,71,60.67,0,1
93,18,0,9,4.1,50,1,1,1,99,70,39,83,69.33,2,1
94,19,0,10,3.9,76,2,0,1,95,79,83,51,85.67,1,1
95,19,0,12,2.3,73,0,0,0,50,47,61,44,52.67,0,1
96,19,0,11,0.5,75,2,0,0,50,98,68,88,72.0,2,1
97,14,0,12,2.3,66,1,0,1,60,49,36,84,48.33,3,0
98,15,1,9,1.9,52,1,0,1,85,78,55,94,72.67,2,1
99,14,1,12,5.8,84,2,0,0,46,77,76,54,66.33,2,1
100,17,0,11,3.9,70,1,1,1,76,76,79,44,77.0,2,1
101,18,0,9,5.3,92,0,0,1,91,37,78,77,68.67,2,1
102,17,0,9,5.1,90,0,0,0,71,92,36,67,66.33,2,1
103,14,1,12,1.9,89,0,1,1,80,77,81,41,79.33,2,1
104,14,1,9,5.3,61,1,1,0,97,36,57,95,63.33,0,1
105,15,0,12,3.5,72,2,1,1,77,73,65,88,71.67,2,1
106,15,0,11,2.2,67,0,0,0,93,67,47,87,69.0,2,1
107,16,0,12,0.7,57,1,0,1,75,59,54,58,62.67,0,1
108,18,1,10,0.9,76,1,0,1,49,44,93,78,62.0,0,1
109,16,0,12,4.8,79,2,0,1,86,88,96,75,90.0,1,1
110,17,0,12,3.2,88,2,1,0,70,40,47,87,52.33,0,1
111,15,0,10,4.5,74,0,0,0,72,100,87,55,86.33,1,1
112,15,0,10,2.6,66,0,1,0,65,56,49,62,56.67,0,1
113,16,1,10,3.7,51,2,0,0,47,77,52,82,58.67,0,1
114,18,0,10,5.9,55,2,1,1,91,43,91,95,75.0,2,1
115,19,0,12,0.8,68,0,0,1,55,96,75,51,75.33,2,1
116,14,1,9,3.4,77,0,0,1,87,61,47,66,65.0,0,1
117,19,0,11,4.3,77,1,0,1,69,68,98,57,78.33,2,1
118,15,0,10,5.1,76,1,0,1,94,69,74,85,79.0,2,1
119,18,1,12,4.5,55,0,1,0,46,45,39,59,43.33,3,0
120,18,1,9,5.6,66,2,0,0,43,85,92,77,73.33,2,1
121,18,1,9,0.6,99,0,0,0,90,85,75,72,83.33,1,1
122,19,0,10,5.6,68,0,0,1,96,65,69,46,76.67,2,1
123,19,1,10,4.1,94,1,0,1,36,82,59,77,59.0,0,1
124,14,1,12,5.0,72,0,0,0,59,42,68,72,56.33,0,1
125,17,0,9,2.3,66,0,0,1,45,89,71,75,68.33,2,1
126,15,1,11,2.5,63,1,0,0,49,40,100,92,63.0,0,1
127,17,1,11,4.9,61,2,0,1,70,41,96,51,69.0,2,1
128,19,0,10,1.7,74,2,1,0,83,89,100,73,90.67,1,1
129,19,0,9,2.5,85,0,1,1,72,96,91,65,86.33,1,1
130,15,1,11,0.8,75,2,0,1,71,99,57,69,75.67,2,1
131,19,1,9,1.7,100,0,1,1,89,50,85,83,74.67,2,1
132,18,0,10,1.2,84,2,1,1,47,93,93,82,77.67,2,1
133,14,1,12,2.7,80,2,0,0,59,49,74,84,60.67,0,1
134,15,0,9,1.1,97,1,1,1,72,78,92,75,80.67,2,1
135,19,0,11,3.9,72,1,1,1,79,49,59,78,62.33,0,1
136,19,1,12,1.5,83,0,1,0,81,93,73,62,82.33,1,1
137,16,0,9,2.3,88,2,0,1,94,71,83,90,82.67,1,1
138,17,1,11,5.5,60,2,1,0,81,84,97,45,87.33,1,1
139,14,1,12,5.1,85,0,1,0,56,90,86,53,77.33,2,1
140,15,0,10,5.7,89,0,0,1,96,52,59,45,69.0,2,1
141,16,0,9,5.7,60,2,0,0,97,77,41,89,71.67,2,1
142,15,1,10,4.7,76,2,1,0,80,52,70,50,67.33,2,1
143,14,1,11,1.4,94,0,0,1,46,65,82,82,64.33,0,1
144,19,1,12,4.3,56,1,0,1,83,99,97,57,93.0,1,1
145,19,0,12,4.1,82,0,1,0,51,48,44,88,47.67,3,0
146,19,1,11,1.4,54,2,1,1,96,56,50,41,67.33,2,1
147,19,0,11,5.3,91,2,0,1,65,51,65,80,60.33,0,1
148,19,1,9,3.2,59,2,1,0,72,45,40,44,52.33,0,1
149,16,1,9,5.2,99,1,1,0,63,57,78,43,66.0,2,1
150,17,1,12,5.0,71,2,1,0,56,61,42,91,53.0,0,1
151,15,1,11,3.4,83,2,1,0,70,40,97,64,69.0,2,1
152,17,0,11,4.4,72,2,0,1,77,42,99,76,72.67,2,1
153,17,1,10,3.2,98,1,0,1,62,81,64,84,69.0,2,1
154,17,0,10,5.4,84,0,0,1,71,82,81,66,78.0,2,1
155,16,1,9,3.6,86,1,0,0,87,47,39,73,57.67,0,1
156,17,1,11,0.6,55,2,0,0,40,100,97,79,79.0,2,1
157,16,0,12,5.6,75,0,0,0,44,60,51,80,51.67,0,1
158,17,0,12,2.8,98,1,1,1,49,47,75,43,57.0,0,1
159,16,1,12,0.7,71,0,0,1,43,60,70,54,57.67,0,1
160,18,0,10,2.5,97,1,0,0,77,81,36,52,64.67,0,1
161,18,0,10,3.7,53,1,1,1,39,79,62,82,60.0,0,1
162,19,0,9,1.1,74,1,1,1,40,63,72,64,58.33,0,1
163,17,1,10,5.7,63,1,1,1,88,62,77,42,75.67,2,1
164,17,1,12,2.4,53,0,1,1,94,37,68,81,66.33,2,1
165,14,1,12,5.0,55,2,1,0,65,81,59,67,68.33,2,1
166,19,1,12,1.9,60,2,0,0,78,62,38,44,59.33,0,1
167,16,1,12,0.8,75,0,0,1,44,70,73,88,62.33,0,1
168,19,1,11,3.5,60,0,1,1,51,61,53,44,55.0,0,1
169,16,1,9,5.7,72,2,1,1,48,79,98,60,75.0,2,1
170,18,1,9,5.8,89,1,1,0,91,48,68,95,69.0,2,1
171,16,1,10,5.0,58,0,0,1,41,67,85,69,64.33,0,1
172,14,0,10,5.6,96,1,0,0,75,69,41,45,61.67,0,1
173,14,1,10,5.2,50,1,0,0,35,84,96,61,71.67,2,1
174,18,0,10,1.1,82,2,0,1,55,48,35,68,46.0,3,0
175,14,1,10,4.2,54,0,1,1,64,61,87,49,70.67,2,1
176,18,0,11,4.3,71,0,0,1,45,45,60,43,50.0,0,1
177,18,1,12,3.1,87,1,0,0,93,89,35,80,72.33,2,1
178,19,0,10,3.0,78,2,1,0,80,55,53,77,62.67,0,1
179,15,1,11,1.7,68,0,0,0,64,57,56,62,59.0,0,1
180,17,0,12,3.1,82,0,1,1,61,48,62,65,57.0,0,1
181,19,1,12,1.1,94,2,0,0,72,85,71,92,76.0,2,1
182,16,1,12,3.7,73,2,0,0,42,81,95,61,72.67,2,1
183,19,0,10,4.4,81,0,1,0,47,75,65,58,62.33,0,1
184,17,1,10,2.5,79,1,1,1,69,88,61,43,72.67,2,1
185,16,1,10,4.6,84,1,0,0,62,70,43,46,58.33,0,1
186,18,1,12,1.7,77,0,0,0,61,68,97,74,75.33,2,1
187,19,0,10,3.8,78,1,1,1,94,65,41,92,66.67,2,1
188,16,1,12,1.4,61,2,1,1,72,42,61,81,58.33,0,1
189,15,0,9,3.5,93,0,1,1,78,50,94,88,74.0,2,1
190,18,0,12,1.4,89,2,1,0,98,43,57,62,66.0,2,1
191,19,1,11,4.6,93,0,1,1,38,68,79,50,61.67,0,1
192,15,0,11,3.1,97,1,0,1,78,45,58,77,60.33,0,1
193,16,1,11,1.4,67,2,1,1,53,52,84,89,63.0,0,1
194,19,0,12,5.5,94,0,0,1,88,42,84,80,71.33,2,1
195,14,1,12,3.5,84,0,0,0,39,58,46,41,47.67,3,0
196,14,1,11,2.6,88,1,0,0,99,39,73,42,70.33,2,1
197,19,0,10,0.6,94,0,1,1,69,37,69,65,58.33,0,1
198,15,0,10,2.0,93,1,0,0,65,99,47,68,70.33,2,1
199,17,1,10,1.3,50,2,0,0,84,53,79,66,72.0,2,1
200,17,0,10,4.7,53,2,1,0,76,65,91,41,77.33,2,1
201,15,0,10,1.3,99,0,1,1,36,39,51,65,42.0,3,0
202,15,0,9,1.4,57,0,0,1,89,39,87,84,71.67,2,1
203,17,0,11,4.8,56,0,0,1,62,64,74,56,66.67,2,1
204,17,0,10,1.7,83,0,1,0,42,62,47,62,50.33,0,1
205,15,1,12,3.8,75,2,1,1,86,74,98,55,86.0,1,1
206,15,1,9,4.6,89,2,1,0,35,91,42,41,56.0,0,1
207,16,1,12,5.5,52,0,1,1,56,90,76,87,74.0,2,1
208,14,1,12,3.1,51,1,1,1,87,95,35,43,72.33,2,1
209,19,0,12,5.7,63,0,0,0,99,58,86,56,81.0,1,1
210,14,0,12,3.9,50,2,1,1,65,51,61,82,59.0,0,1
211,18,0,9,2.3,98,0,0,1,61,97,69,66,75.67,2,1
212,18,1,11,1.9,59,0,1,0,93,46,86,44,75.0,2,1
213,19,0,12,4.1,56,0,0,0,83,67,86,56,78.67,2,1
214,17,1,12,4.7,71,0,0,0,69,36,49,54,51.33,0,1
215,14,0,12,0.5,88,0,0,0,66,80,95,63,80.33,2,1
216,18,0,9,1.8,91,0,1,1,88,70,74,56,77.33,2,1
217,19,0,9,5.7,51,1,1,0,63,37,96,75,65.33,0,1
218,15,1,12,5.1,91,0,1,1,78,88,81,81,82.33,1,1
219,14,0,9,2.4,52,1,0,0,55,43,74,81,57.33,0,1
220,16,0,12,3.6,53,0,0,1,76,50,68,88,64.67,0,1
221,14,0,10,2.1,61,0,0,1,55,69,68,57,64.0,0,1
222,19,0,12,1.0,86,0,1,1,65,83,80,46,76.0,2,1
223,17,1,11,3.1,58,2,0,1,96,98,71,84,88.33,1,1
224,16,1,10,2.9,53,1,0,1,54,63,41,88,52.67,0,1
225,15,1,10,4.6,53,2,1,0,40,86,59,64,61.67,0,1
226,17,0,9,6.0,97,2,0,1,63,79,48,74,63.33,0,1
227,18,0,12,2.9,87,0,1,1,38,52,50,64,46.67,3,0
228,14,1,10,1.9,75,1,1,1,72,95,70,76,79.0,2,1
229,14,1,11,1.0,74,0,0,1,93,58,64,56,71.67,2,1
230,18,0,9,2.5,98,1,0,1,47,74,76,73,65.67,0,1
231,19,0,10,3.9,74,2,0,0,43,37,73,68,51.0,0,1
232,19,0,9,5.6,97,1,0,1,99,84,86,51,89.67,1,1
233,15,1,10,4.0,63,0,1,1,94,96,49,88,79.67,2,1
234,15,0,10,3.9,67,1,0,0,87,52,38,93,59.0,0,1
235,15,1,9,2.6,53,1,1,0,78,90,83,69,83.67,1,1
236,19,0,9,1.3,56,1,0,1,75,72,97,53,81.33,1,1
237,16,1,12,4.5,54,1,1,0,72,83,80,41,78.33,2,1
238,19,1,10,5.8,52,2,0,0,35,63,81,59,59.67,0,1
239,16,0,12,0.6,91,2,0,1,45,52,98,63,65.0,0,1
240,18,0,11,5.9,89,2,0,0,47,65,57,65,56.33,0,1
241,18,0,10,1.9,57,0,1,1,58,60,94,83,70.67,2,1
242,14,0,11,3.1,88,0,0,0,64,78,36,93,59.33,0,1
243,17,0,11,2.8,64,0,1,0,54,72,89,73,71.67,2,1
244,19,1,10,1.2,91,2,1,0,49,99,67,60,71.67,2,1
245,19,1,10,5.8,95,0,0,1,67,50,37,55,51.33,0,1
246,18,1,10,0.9,97,1,0,0,52,99,83,44,78.0,2,1
247,17,0,11,3.7,95,1,1,1,58,41,48,85,49.0,3,0
248,19,1,10,1.8,89,2,0,0,36,58,59,42,51.0,0,1
249,19,0,9,4.3,59,0,0,0,65,53,73,56,63.67,0,1
250,16,0,9,3.8,62,1,1,0,77,67,38,59,60.67,0,1
251,19,0,10,0.8,51,1,0,1,70,44,44,69,52.67,0,1
252,17,0,12,5.9,88,2,0,1,73,58,36,77,55.67,0,1
253,16,1,10,3.3,67,1,0,0,65,82,67,56,71.33,2,1
254,16,1,10,2.1,65,1,1,0,41,67,66,45,58.0,0,1
255,15,0,11,5.4,60,2,1,0,38,91,67,57,65.33,0,1
256,18,1,10,3.1,78,1,0,0,75,63,37,41,58.33,0,1
257,14,1,9,4.4,54,0,0,0,62,77,96,84,78.33,2,1
258,18,0,12,0.8,90,1,0,0,69,85,35,58,63.0,0,1
259,16,0,10,3.9,84,1,1,1,89,58,52,44,66.33,2,1
260,14,1,10,3.8,88,0,0,1,67,57,36,54,53.33,0,1
261,15,1,11,1.3,55,0,1,0,50,37,46,67,44.33,3,0
262,15,0,11,3.3,53,2,0,1,38,68,96,77,67.33,2,1
263,17,0,12,0.8,98,1,0,1,56,35,73,95,54.67,0,1
264,19,0,12,3.9,55,2,0,1,67,50,60,62,59.0,0,1
265,15,1,11,2.0,83,0,0,1,58,83,99,60,80.0,2,1
266,18,0,9,2.1,83,0,1,1,37,95,59,74,63.67,0,1
267,14,1,9,1.7,97,1,1,1,81,47,53,53,60.33,0,1
268,15,1,10,1.0,76,0,1,1,43,76,89,40,69.33,2,1
269,14,0,11,2.1,58,0,0,0,62,87,66,72,71.67,2,1
270,18,1,9,1.6,65,1,0,0,45,45,48,54,46.0,3,0
271,14,1,10,0.7,85,2,1,1,59,95,98,60,84.0,1,1
272,14,1,10,3.3,80,2,0,0,69,60,75,65,68.0,2,1
273,16,1,11,0.9,73,0,0,1,45,88,37,76,56.67,0,1
274,19,0,11,4.5,89,0,1,0,61,83,40,82,61.33,0,1
275,16,0,10,1.1,58,0,1,1,73,41,38,82,50.67,0,1
276,16,0,9,2.0,71,2,0,1,76,80,85,92,80.33,2,1
277,17,1,11,5.2,57,2,0,1,89,56,93,77,79.33,2,1
278,17,1,10,0.5,100,0,1,1,71,95,87,67,84.33,1,1
279,16,0,10,3.8,77,0,0,1,41,41,99,91,60.33,0,1
280,17,1,10,1.0,97,0,0,1,67,57,84,67,69.33,2,1
281,14,0,10,0.9,83,2,0,0,79,38,69,57,62.0,0,1
282,16,0,12,2.8,79,0,1,1,96,46,84,95,75.33,2,1
283,16,1,9,3.6,54,2,0,0,46,75,67,89,62.67,0,1
284,17,1,9,5.9,50,0,0,1,83,98,62,85,81.0,1,1
285,16,0,9,4.7,90,1,1,1,59,68,66,63,64.33,0,1
286,18,1,12,5.4,51,2,0,1,84,46,36,66,55.33,0,1
287,14,0,11,0.8,62,0,0,0,94,100,58,53,84.0,1,1
288,15,1,9,0.6,87,0,1,1,67,63,80,50,70.0,2,1
289,14,1,10,4.8,60,2,0,0,38,51,71,85,53.33,0,1
290,15,1,10,5.0,65,2,1,1,47,95,56,58,66.0,2,1
291,14,1,12,4.1,61,0,1,0,53,38,35,43,42.0,3,0
292,17,0,9,0.7,96,1,0,1,93,89,42,60,74.67,2,1
293,18,1,10,3.6,84,2,0,0,37,40,42,50,39.67,3,0
294,16,0,11,2.6,94,1,1,0,79,93,81,77,84.33,1,1
295,19,0,10,3.5,96,1,0,0,81,51,80,66,70.67,2,1
296,15,0,11,2.8,75,1,0,0,61,73,59,48,64.33,0,1
297,18,1,11,1.4,92,1,1,1,64,69,84,95,72.33,2,1
298,18,1,11,3.6,95,2,0,1,95,75,90,45,86.67,1,1
299,14,1,12,5.9,88,1,1,1,47,47,52,47,48.67,3,0
300,19,0,12,4.8,88,1,1,1,97,42,96,78,78.33,2,1
301,18,1,10,4.2,89,0,0,1,100,47,48,53,65.0,0,1
302,18,1,10,1.9,95,2,1,0,61,72,97,79,76.67,2,1
303,15,1,11,4.2,55,1,0,0,96,91,69,72,85.33,1,1
304,18,0,10,0.5,65,2,1,1,66,59,67,58,64.0,0,1
305,15,1,11,1.1,65,1,0,1,57,77,37,79,57.0,0,1
306,17,0,11,2.8,99,0,1,1,88,60,84,69,77.33,2,1
307,18,0,9,1.9,52,1,0,0,52,46,95,76,64.33,0,1
308,18,1,12,3.1,80,1,1,0,92,71,74,92,79.0,2,1
309,18,1,11,1.9,95,0,1,1,46,91,97,51,78.0,2,1
310,14,0,11,3.0,93,1,0,0,93,44,81,46,72.67,2,1
311,18,0,10,5.7,84,2,1,0,41,47,47,50,45.0,3,0
312,15,0,11,4.7,70,2,1,1,94,40,55,53,63.0,0,1
313,14,0,11,5.2,60,0,1,0,73,96,56,60,75.0,2,1
314,14,0,9,1.6,72,1,1,1,95,38,78,76,70.33,2,1
315,19,0,12,2.4,70,0,1,0,81,40,58,85,59.67,0,1
316,19,1,11,2.2,100,1,1,1,78,67,39,77,61.33,0,1
317,18,0,12,4.7,65,2,0,0,93,50,89,56,77.33,2,1
318,17,0,12,1.2,83,0,1,1,91,46,37,83,58.0,0,1
319,14,1,9,5.5,92,1,0,0,73,70,90,66,77.67,2,1
320,14,0,9,1.0,78,2,0,0,67,40,39,69,48.67,3,0
321,14,1,12,2.0,52,2,1,1,55,40,73,79,56.0,0,1
322,18,0,11,4.6,63,1,0,0,76,73,98,86,82.33,1,1
323,14,1,9,5.8,81,2,0,1,89,98,45,89,77.33,2,1
324,15,0,11,1.7,78,2,1,1,56,36,76,53,56.0,0,1
325,19,1,10,3.3,79,0,0,1,69,83,83,56,78.33,2,1
326,16,1,9,4.8,87,0,1,0,75,45,77,67,65.67,0,1
327,15,1,11,3.1,73,1,0,0,63,53,69,61,61.67,0,1
328,18,0,9,5.3,63,0,0,1,96,79,99,44,91.33,1,1
329,18,0,10,1.8,53,0,0,0,35,89,100,46,74.67,2,1
330,14,1,10,1.7,81,0,1,0,52,58,65,60,58.33,0,1
331,16,1,10,3.7,95,0,0,1,52,57,53,94,54.0,0,1
332,15,0,11,3.8,95,0,1,0,58,81,70,48,69.67,2,1
333,16,0,9,4.2,63,0,1,0,67,83,70,71,73.33,2,1
334,16,0,12,4.9,91,2,1,1,42,79,55,86,58.67,0,1
335,18,1,11,0.9,81,0,0,1,95,70,85,43,83.33,1,1
336,18,1,9,1.1,70,1,0,1,78,91,58,46,75.67,2,1
337,17,0,12,3.5,70,2,0,1,98,94,41,90,77.67,2,1
338,19,1,10,2.3,87,2,1,0,89,48,37,80,58.0,0,1
339,19,0,9,2.4,83,1,1,0,96,89,43,92,76.0,2,1
340,19,0,12,5.7,52,1,1,0,82,87,57,94,75.33,2,1
341,19,1,10,2.5,95,2,0,1,92,56,81,77,76.33,2,1
342,15,0,12,2.9,90,0,0,0,89,72,36,48,65.67,0,1
343,14,1,12,2.0,94,0,1,1,42,59,49,47,50.0,0,1
344,18,1,9,4.8,58,2,1,0,61,65,49,45,58.33,0,1
345,18,1,10,3.0,94,2,0,1,37,86,95,48,72.67,2,1
346,14,0,11,3.4,67,1,0,1,36,54,75,57,55.0,0,1
347,17,0,9,3.8,77,2,1,1,40,99,73,44,70.67,2,1
348,15,0,10,1.7,65,2,0,1,35,80,39,83,51.33,0,1
349,15,1,11,1.6,67,1,0,0,36,75,62,66,57.67,0,1
350,19,1,12,3.0,69,1,0,0,49,42,49,83,46.67,3,0
351,17,0,9,4.3,100,1,0,1,83,98,59,61,80.0,2,1
352,14,1,12,0.5,70,1,0,0,72,57,52,75,60.33,0,1
353,16,1,11,5.0,76,2,0,1,56,83,100,68,79.67,2,1
354,19,1,10,2.5,61,0,0,0,37,67,93,53,65.67,0,1
355,14,0,12,4.4,50,0,0,1,48,39,55,80,47.33,3,0
356,16,0,10,4.7,56,0,0,1,51,82,68,79,67.0,2,1
357,19,0,11,1.7,90,0,1,1,73,55,45,46,57.67,0,1
358,17,1,9,1.9,93,2,1,1,62,74,58,94,64.67,0,1
359,18,1,12,2.2,73,2,0,0,98,59,83,77,80.0,2,1
360,18,0,12,5.9,73,0,1,1,97,45,59,90,67.0,2,1
361,15,1,10,5.6,90,1,1,1,89,57,74,53,73.33,2,1
362,14,0,11,1.8,57,0,1,1,63,44,85,40,64.0,0,1
363,14,0,10,3.0,59,2,1,0,80,79,62,44,73.67,2,1
364,18,1,12,3.3,78,1,0,1,95,59,76,49,76.67,2,1
365,17,0,9,3.9,50,2,0,1,36,94,96,51,75.33,2,1
366,15,0,9,3.4,98,1,1,1,100,41,78,61,73.0,2,1
367,18,1,10,1.5,69,1,0,1,59,93,42,63,64.67,0,1
368,15,0,11,4.8,56,0,1,0,74,94,98,55,88.67,1,1
369,16,0,11,0.6,63,0,1,1,82,37,37,92,52.0,0,1
370,15,0,10,3.9,66,2,0,0,36,92,35,76,54.33,0,1
371,16,0,9,1.1,93,2,0,1,64,74,46,83,61.33,0,1
372,18,1,9,3.7,91,1,0,0,80,35,49,65,54.67,0,1
373,19,1,10,1.0,64,1,0,1,72,54,37,70,54.33,0,1
374,16,1,9,5.9,72,1,0,0,59,83,47,81,63.0,0,1
375,15,0,12,3.5,59,2,0,1,56,64,40,54,53.33,0,1
376,17,0,9,3.6,51,2,1,1,85,83,95,62,87.67,1,1
377,15,0,9,3.6,85,1,0,1,62,83,72,90,72.33,2,1
378,15,0,9,5.6,98,1,0,0,52,93,98,67,81.0,1,1
379,17,0,11,3.0,100,0,0,0,38,84,67,47,63.0,0,1
380,18,1,9,2.3,80,0,0,1,64,43,55,56,54.0,0,1
381,15,1,10,1.9,78,0,0,0,81,35,62,93,59.33,0,1
